id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs,triple_product,if_computed_rotation_positive,if_triple_positive
3647994,C[C@@H]1CNCCN1,C[C@@H]1CNCCN1,-17,-11.1,100.165,-100.165,11.1,10.3099204186926,-1.0,1.0
3648625,O[C@H](CC=C)C1CCCCC1,C=CC[C@@H](O)C1CCCCC1,2.9,-94.54,154.253,-154.253,94.54,-23.9026394521216,-1.0,1.0
3648741,CC[S@@](=O)C1=CC=CC=C1,CC[S@@](=O)c1ccccc1,262,491.51,154.234,154.234,491.51,-17.2451327030583,1.0,1.0
3648959,O[C@@H]1CC=CC2=CC=CC=C12,O[C@@H]1CC=Cc2ccccc21,30.96,-58.06,146.189,-146.189,58.06,-18.5049983372408,-1.0,1.0
3648988,[H][C@@](O)(CCl)C1=CC=CC=C1,O[C@H](CCl)c1ccccc1,36,56.7,156.612,156.612,56.7,-13.3965638131407,1.0,1.0
3649064,COC1=CC(=CC=C1)[C@@H](C)O,COc1cccc([C@@H](C)O)c1,18.8,73.14,152.193,152.193,73.14,29.1123021950169,1.0,1.0
3649226,CC(C)CC1=CC=C(C=C1)[C@H](C)O,CC(C)Cc1ccc([C@H](C)O)cc1,-27.6,-35.25,178.275,-178.275,35.25,24.0473497705843,-1.0,1.0
3649445,O=C1CC[C@@H](O1)C1=CC=CC=C1,O=C1CC[C@H](c2ccccc2)O1,24.1,79.01,162.188,162.188,79.01,18.6735173195766,1.0,1.0
3649607,OC[C@@H]1O[C@H]1C1=CC=CC=C1,OC[C@@H]1O[C@H]1c1ccccc1,-54,16.81,150.177,150.177,16.81,-17.1382430846504,1.0,1.0
3650249,BrC1=CC=C(C=C1)[C@H]1CCC(=O)O1,O=C1CC[C@H](c2ccc(Br)cc2)O1,16.5,43.63,241.084,241.084,43.63,8.49310202251466,1.0,1.0
3650269,O[C@H](CCCOCC1=CC=CC=C1)CC=C,C=CC[C@H](O)CCCOCc1ccccc1,7.7,235.63,220.312,220.312,235.63,35.7138592615986,1.0,1.0
